# generated from the tensat project
# ("Equality Saturation for Tensor Graph Superoptimization" by Yang, Phothilimthana, Wang, Willsey, Roy and Pienaar)
# network: bert
# node_limit: 50000
# iteration limit: 15
# multipatern iteration limit: 2
## root: 191
2081,0,Split([10; 2080]),10,2080
16963,0.5625920295715332,Matmul([0; 28; 10702]),0,28,10702
16963,0.5505920052528381,Matmul([0; 443; 10704]),0,443,10704
16963,0.5505920052528381,Matmul([0; 8729; 10706]),0,8729,10706
16963,0.5505920052528381,Matmul([0; 8807; 10708]),0,8807,10708
16963,0.5420160293579102,Matmul([0; 9023; 4389]),0,9023,4389
16963,0.5420160293579102,Matmul([0; 9059; 4394]),0,9059,4394
18710,0.8015679717063904,Matmul([0; 28; 11274]),0,28,11274
18710,0.7773119807243347,Matmul([0; 443; 11276]),0,443,11276
18710,0.7773119807243347,Matmul([0; 8729; 11278]),0,8729,11278
18710,0.7773119807243347,Matmul([0; 8807; 11280]),0,8807,11280
18710,0.7639679908752441,Matmul([0; 9023; 6844]),0,9023,6844
18710,0.7639679908752441,Matmul([0; 9059; 6849]),0,9059,6849
27553,0.5523520112037659,Matmul([0; 97; 2824]),0,97,2824
40529,0.8015679717063904,Matmul([0; 120; 40531]),0,120,40531
40529,0.7639679908752441,Matmul([0; 483; 7054]),0,483,7054
6899,0.00003199999991920777,Concat([10; 192; 383; 388]),10,192,383,388
6071,0,Split([10; 6070]),10,6070
1980,0.05350400134921074,Matmul([0; 3; 26803]),0,3,26803
1980,0.05532800033688545,Matmul([0; 29; 1979]),0,29,1979
26547,0.5523520112037659,Matmul([0; 28; 1204]),0,28,1204
33085,0.5523520112037659,Matmul([0; 143; 4444]),0,143,4444
5375,0.06892800331115723,Matmul([0; 3; 36451]),0,3,36451
5375,0.07011199742555618,Matmul([0; 29; 5374]),0,29,5374
4881,0,Split([10; 4880]),10,4880
7114,0.7783359885215759,Matmul([0; 166; 7119]),0,166,7119
7114,0.000029000000722589903,Concat([10; 192; 577; 587]),10,192,577,587
6006,0,Split([10; 6005]),10,6005
4694,0.00003199999991920777,Concat([10; 192; 180; 403]),10,192,180,403
2545,0.035840000957250595,Matmul([0; 3; 27213]),0,3,27213
2545,0.03641600161790848,Matmul([0; 29; 27215]),0,29,27215
2545,0.03641600161790848,Matmul([0; 52; 27217]),0,52,27217
2545,0.0360959991812706,Matmul([0; 75; 2544]),0,75,2544
646,0,Split([10; 645]),10,645
36547,0.8015679717063904,Matmul([0; 28; 36549]),0,28,36549
36547,0.7639679908752441,Matmul([0; 443; 5609]),0,443,5609
4891,0,Split([10; 4890]),10,4890
5725,0.06892800331115723,Matmul([0; 3; 36621]),0,3,36621
5725,0.0708480030298233,Matmul([0; 29; 36623]),0,29,36623
5725,0.07011199742555618,Matmul([0; 52; 5724]),0,52,5724
6690,0.06892800331115723,Matmul([0; 3; 38553]),0,3,38553
6690,0.0708480030298233,Matmul([0; 29; 38557]),0,29,38557
6690,0.0708480030298233,Matmul([0; 52; 38563]),0,52,38563
6690,0.0708480030298233,Matmul([0; 75; 38567]),0,75,38567
6690,0.0708480030298233,Matmul([0; 98; 38569]),0,98,38569
6690,0.07011199742555618,Matmul([0; 121; 6689]),0,121,6689
1606,0,Split([10; 1605]),10,1605
33227,0.5625920295715332,Matmul([0; 120; 33229]),0,120,33229
33227,0.5420160293579102,Matmul([0; 483; 4489]),0,483,4489
29601,0.5625920295715332,Matmul([0; 28; 29605]),0,28,29605
29601,0.5505920052528381,Matmul([0; 443; 29611]),0,443,29611
29601,0.5505920052528381,Matmul([0; 8729; 29615]),0,8729,29615
29601,0.5505920052528381,Matmul([0; 8807; 29617]),0,8807,29617
29601,0.5420160293579102,Matmul([0; 9023; 3704]),0,9023,3704
5964,0.7783359885215759,Matmul([0; 74; 5969]),0,74,5969
5964,0.000029000000722589903,Concat([10; 192; 535; 537]),10,192,535,537
34863,0.5625920295715332,Matmul([0; 28; 34867]),0,28,34867
34863,0.5505920052528381,Matmul([0; 443; 34873]),0,443,34873
34863,0.5505920052528381,Matmul([0; 8729; 34879]),0,8729,34879
34863,0.5505920052528381,Matmul([0; 8807; 34883]),0,8807,34883
34863,0.5505920052528381,Matmul([0; 9023; 34885]),0,9023,34885
34863,0.5420160293579102,Matmul([0; 9059; 4684]),0,9059,4684
29275,0.5625920295715332,Matmul([0; 51; 29279]),0,51,29279
29275,0.5505920052528381,Matmul([0; 453; 29281]),0,453,29281
29275,0.5420160293579102,Matmul([0; 8735; 3599]),0,8735,3599
26875,0.5625920295715332,Matmul([0; 28; 26877]),0,28,26877
26875,0.5420160293579102,Matmul([0; 443; 2129]),0,443,2129
40141,0.8015679717063904,Matmul([0; 74; 40147]),0,74,40147
40141,0.7773119807243347,Matmul([0; 463; 40151]),0,463,40151
40141,0.7773119807243347,Matmul([0; 8741; 40153]),0,8741,40153
40141,0.7639679908752441,Matmul([0; 8835; 6979]),0,8835,6979
33111,0.5625920295715332,Matmul([0; 28; 33115]),0,28,33115
33111,0.5505920052528381,Matmul([0; 443; 33121]),0,443,33121
33111,0.5505920052528381,Matmul([0; 8729; 33127]),0,8729,33127
33111,0.5505920052528381,Matmul([0; 8807; 33131]),0,8807,33131
33111,0.5505920052528381,Matmul([0; 9023; 33133]),0,9023,33133
33111,0.5420160293579102,Matmul([0; 9059; 4469]),0,9059,4469
7885,0,Split([10; 4359]),10,4359
4755,0.05350400134921074,Matmul([0; 3; 35595]),0,3,35595
4755,0.05407999828457832,Matmul([0; 29; 35599]),0,29,35599
4755,0.05407999828457832,Matmul([0; 52; 35605]),0,52,35605
4755,0.05407999828457832,Matmul([0; 75; 35611]),0,75,35611
4755,0.05407999828457832,Matmul([0; 98; 35615]),0,98,35615
4755,0.05407999828457832,Matmul([0; 121; 35617]),0,121,35617
4755,0.05532800033688545,Matmul([0; 144; 4754]),0,144,4754
5021,0,Split([10; 5020]),10,5020
27995,0.5625920295715332,Matmul([0; 74; 27997]),0,74,27997
27995,0.5420160293579102,Matmul([0; 463; 3104]),0,463,3104
30115,0.40112000703811646,Matmul([0; 51; 30121]),0,51,30121
30115,0.3935360014438629,Matmul([0; 453; 30127]),0,453,30127
30115,0.3935360014438629,Matmul([0; 8735; 30131]),0,8735,30131
30115,0.3935360014438629,Matmul([0; 8821; 30133]),0,8821,30133
30115,0.3887999951839447,Matmul([0; 9062; 3874]),0,9062,3874
36451,0.7783359885215759,Matmul([0; 28; 5374]),0,28,5374
1796,0,Split([10; 1795]),10,1795
36605,0.8015679717063904,Matmul([0; 28; 36607]),0,28,36607
36605,0.7639679908752441,Matmul([0; 443; 5704]),0,443,5704
8638,0,Split([0; 8637]),0,8637
208,0.000045000000682193786,Concat([10; 192; 13; 19]),10,192,13,19
2731,0,Split([10; 2730]),10,2730
37205,0.8015679717063904,Matmul([0; 74; 37207]),0,74,37207
37205,0.7639679908752441,Matmul([0; 463; 6224]),0,463,6224
1966,0,Split([10; 1965]),10,1965
11206,0.8015679717063904,Matmul([0; 74; 11208]),0,74,11208
11206,0.7639679908752441,Matmul([0; 463; 6634]),0,463,6634
11206,0.7639679908752441,Matmul([0; 8741; 6639]),0,8741,6639
10978,0.7783359885215759,Matmul([0; 51; 5854]),0,51,5854
10978,0.7639679908752441,Matmul([0; 453; 5859]),0,453,5859
3374,0.5523520112037659,Matmul([0; 120; 3379]),0,120,3379
3374,0.00003199999991920777,Concat([10; 192; 475; 561]),10,192,475,561
3170,0.05350400134921074,Matmul([0; 3; 28119]),0,3,28119
3170,0.05407999828457832,Matmul([0; 29; 28121]),0,29,28121
3170,0.05407999828457832,Matmul([0; 52; 28123]),0,52,28123
3170,0.05532800033688545,Matmul([0; 75; 3169]),0,75,3169
40447,0.8015679717063904,Matmul([0; 74; 40453]),0,74,40453
40447,0.7773119807243347,Matmul([0; 463; 40457]),0,463,40457
40447,0.7773119807243347,Matmul([0; 8741; 40459]),0,8741,40459
40447,0.7639679908752441,Matmul([0; 8835; 7039]),0,8835,7039
11228,0.8015679717063904,Matmul([0; 74; 11230]),0,74,11230
11228,0.7773119807243347,Matmul([0; 463; 11232]),0,463,11232
11228,0.7639679908752441,Matmul([0; 8741; 6754]),0,8741,6754
11228,0.7639679908752441,Matmul([0; 8835; 6759]),0,8835,6759
36793,0.7783359885215759,Matmul([0; 74; 5934]),0,74,5934
165,0,Var("w_27@1024_1024")
30239,0.5625920295715332,Matmul([0; 97; 30241]),0,97,30241
30239,0.5420160293579102,Matmul([0; 473; 3899]),0,473,3899
5480,0.06892800331115723,Matmul([0; 3; 36485]),0,3,36485
5480,0.0708480030298233,Matmul([0; 29; 36487]),0,29,36487
5480,0.07011199742555618,Matmul([0; 52; 5479]),0,52,5479
4190,0.05350400134921074,Matmul([0; 3; 31695]),0,3,31695
4190,0.05407999828457832,Matmul([0; 29; 31699]),0,29,31699
4190,0.05407999828457832,Matmul([0; 52; 31705]),0,52,31705
4190,0.05407999828457832,Matmul([0; 75; 31709]),0,75,31709
4190,0.05407999828457832,Matmul([0; 98; 31711]),0,98,31711
4190,0.05532800033688545,Matmul([0; 121; 4189]),0,121,4189
28297,0.40112000703811646,Matmul([0; 74; 28301]),0,74,28301
28297,0.3935360014438629,Matmul([0; 463; 28303]),0,463,28303
28297,0.3887999951839447,Matmul([0; 8741; 3284]),0,8741,3284
10458,0.5625920295715332,Matmul([0; 74; 10460]),0,74,10460
10458,0.5420160293579102,Matmul([0; 463; 3649]),0,463,3649
10458,0.5420160293579102,Matmul([0; 8741; 3654]),0,8741,3654
3569,0.000022000000171829015,Concat([10; 192; 128; 575]),10,192,128,575
33011,0.5625920295715332,Matmul([0; 120; 33013]),0,120,33013
33011,0.5420160293579102,Matmul([0; 483; 4429]),0,483,4429
9464,0.23977600038051605,Matmul([0; 28; 8817]),0,28,8817
9464,0.23161600530147552,Matmul([0; 443; 8819]),0,443,8819
9464,0.23161600530147552,Matmul([0; 8729; 469]),0,8729,469
9464,0.22566400468349457,Matmul([0; 8807; 111]),0,8807,111
37839,0.8015679717063904,Matmul([0; 51; 37845]),0,51,37845
37839,0.7773119807243347,Matmul([0; 453; 37849]),0,453,37849
37839,0.7773119807243347,Matmul([0; 8735; 37851]),0,8735,37851
37839,0.7639679908752441,Matmul([0; 8821; 6484]),0,8821,6484
40361,0.8015679717063904,Matmul([0; 120; 40363]),0,120,40363
40361,0.7639679908752441,Matmul([0; 483; 7019]),0,483,7019
9978,0.40112000703811646,Matmul([0; 74; 9980]),0,74,9980
9978,0.3935360014438629,Matmul([0; 463; 8983]),0,463,8983
9978,0.3935360014438629,Matmul([0; 8741; 8985]),0,8741,8985
9978,0.3935360014438629,Matmul([0; 8835; 581]),0,8835,581
9978,0.3887999951839447,Matmul([0; 9113; 413]),0,9113,413
36837,0.8015679717063904,Matmul([0; 28; 36839]),0,28,36839
36837,0.7773119807243347,Matmul([0; 443; 36841]),0,443,36841
36837,0.7639679908752441,Matmul([0; 8729; 5984]),0,8729,5984
10990,0.7783359885215759,Matmul([0; 51; 5914]),0,51,5914
10990,0.7639679908752441,Matmul([0; 453; 5919]),0,453,5919
36601,0.8015679717063904,Matmul([0; 28; 36603]),0,28,36603
36601,0.7639679908752441,Matmul([0; 443; 5699]),0,443,5699
2744,0.5523520112037659,Matmul([0; 97; 2749]),0,97,2749
2744,0.00003199999991920777,Concat([10; 192; 465; 541]),10,192,465,541
1685,0.05350400134921074,Matmul([0; 3; 26671]),0,3,26671
1685,0.05532800033688545,Matmul([0; 29; 1684]),0,29,1684
6384,0.00002499999936844688,Concat([10; 192; 338; 553]),10,192,338,553
10618,0.5625920295715332,Matmul([0; 97; 10620]),0,97,10620
10618,0.5420160293579102,Matmul([0; 473; 4114]),0,473,4114
10618,0.5420160293579102,Matmul([0; 8747; 4119]),0,8747,4119
27839,0.40112000703811646,Matmul([0; 74; 27841]),0,74,27841
27839,0.3887999951839447,Matmul([0; 463; 2999]),0,463,2999
8897,0.40112000703811646,Matmul([0; 51; 537]),0,51,537
8897,0.3887999951839447,Matmul([0; 453; 303]),0,453,303
1829,0.00002700000004551839,Concat([10; 192; 449; 223]),10,192,449,223
38457,0.8015679717063904,Matmul([0; 74; 38461]),0,74,38461
38457,0.7773119807243347,Matmul([0; 463; 38463]),0,463,38463
38457,0.7639679908752441,Matmul([0; 8741; 6659]),0,8741,6659
5570,0.06892800331115723,Matmul([0; 3; 36533]),0,3,36533
5570,0.0708480030298233,Matmul([0; 29; 36535]),0,29,36535
5570,0.07011199742555618,Matmul([0; 52; 5569]),0,52,5569
5554,0.00002499999936844688,Concat([10; 192; 258; 533]),10,192,258,533
38079,0.8015679717063904,Matmul([0; 28; 38083]),0,28,38083
38079,0.7773119807243347,Matmul([0; 443; 38089]),0,443,38089
38079,0.7773119807243347,Matmul([0; 8729; 38093]),0,8729,38093
38079,0.7773119807243347,Matmul([0; 8807; 38095]),0,8807,38095
38079,0.7639679908752441,Matmul([0; 9023; 6554]),0,9023,6554
26883,0.5625920295715332,Matmul([0; 28; 26885]),0,28,26885
26883,0.5420160293579102,Matmul([0; 443; 2139]),0,443,2139
37173,0.8015679717063904,Matmul([0; 28; 37177]),0,28,37177
37173,0.7773119807243347,Matmul([0; 443; 37181]),0,443,37181
37173,0.7773119807243347,Matmul([0; 8729; 37183]),0,8729,37183
37173,0.7639679908752441,Matmul([0; 8807; 6214]),0,8807,6214
38623,0.7783359885215759,Matmul([0; 120; 6704]),0,120,6704
2730,0.05350400134921074,Matmul([0; 3; 27393]),0,3,27393
2730,0.05407999828457832,Matmul([0; 29; 27395]),0,29,27395
2730,0.05407999828457832,Matmul([0; 52; 27397]),0,52,27397
2730,0.05532800033688545,Matmul([0; 75; 2729]),0,75,2729
2850,0.035840000957250595,Matmul([0; 3; 27579]),0,3,27579
2850,0.03641600161790848,Matmul([0; 29; 27583]),0,29,27583
2850,0.03641600161790848,Matmul([0; 52; 27587]),0,52,27587
2850,0.03641600161790848,Matmul([0; 75; 27589]),0,75,27589
2850,0.0360959991812706,Matmul([0; 98; 2849]),0,98,2849
4431,0,Split([10; 4430]),10,4430
6796,0,Split([10; 6795]),10,6795
5720,0.06892800331115723,Matmul([0; 3; 36617]),0,3,36617
5720,0.0708480030298233,Matmul([0; 29; 36619]),0,29,36619
5720,0.07011199742555618,Matmul([0; 52; 5719]),0,52,5719
30211,0.5625920295715332,Matmul([0; 51; 30217]),0,51,30217
30211,0.5505920052528381,Matmul([0; 453; 30221]),0,453,30221
30211,0.5505920052528381,Matmul([0; 8735; 30223]),0,8735,30223
30211,0.5420160293579102,Matmul([0; 8821; 3894]),0,8821,3894
6596,0,Split([10; 6595]),10,6595
37449,0.8015679717063904,Matmul([0; 28; 37453]),0,28,37453
37449,0.7773119807243347,Matmul([0; 443; 37457]),0,443,37457
37449,0.7773119807243347,Matmul([0; 8729; 37459]),0,8729,37459
37449,0.7639679908752441,Matmul([0; 8807; 6354]),0,8807,6354
6395,0.06892800331115723,Matmul([0; 3; 37545]),0,3,37545
6395,0.0708480030298233,Matmul([0; 29; 37549]),0,29,37549
6395,0.0708480030298233,Matmul([0; 52; 37553]),0,52,37553
6395,0.0708480030298233,Matmul([0; 75; 37555]),0,75,37555
6395,0.07011199742555618,Matmul([0; 98; 6394]),0,98,6394
10328,0.5523520112037659,Matmul([0; 74; 3209]),0,74,3209
10328,0.5420160293579102,Matmul([0; 463; 3214]),0,463,3214
4341,0,Split([10; 4340]),10,4340
3224,0.00003199999991920777,Concat([10; 192; 120; 333]),10,192,120,333
5060,0.07017599791288376,Matmul([0; 3; 5059]),0,3,5059
8735,0.23977600038051605,Matmul([0; 51; 463]),0,51,463
8735,0.22566400468349457,Matmul([0; 453; 97]),0,453,97
32243,0.5625920295715332,Matmul([0; 120; 32245]),0,120,32245
32243,0.5420160293579102,Matmul([0; 483; 4284]),0,483,4284
1716,0,Split([10; 1715]),10,1715
31571,0.5625920295715332,Matmul([0; 120; 31573]),0,120,31573
31571,0.5420160293579102,Matmul([0; 483; 4154]),0,483,4154
36635,0.7783359885215759,Matmul([0; 51; 5739]),0,51,5739
3874,0.00003199999991920777,Concat([10; 192; 146; 495]),10,192,146,495
38407,0.8015679717063904,Matmul([0; 97; 38409]),0,97,38409
38407,0.7639679908752441,Matmul([0; 473; 6644]),0,473,6644
9508,0.23977600038051605,Matmul([0; 51; 8831]),0,51,8831
9508,0.23161600530147552,Matmul([0; 453; 8833]),0,453,8833
9508,0.23161600530147552,Matmul([0; 8735; 479]),0,8735,479
9508,0.22566400468349457,Matmul([0; 8821; 134]),0,8821,134
32983,0.5625920295715332,Matmul([0; 97; 32987]),0,97,32987
32983,0.5505920052528381,Matmul([0; 473; 32989]),0,473,32989
32983,0.5420160293579102,Matmul([0; 8747; 4424]),0,8747,4424
38231,0.8015679717063904,Matmul([0; 97; 38233]),0,97,38233
38231,0.7639679908752441,Matmul([0; 473; 6594]),0,473,6594
6126,0,Split([10; 6125]),10,6125
38095,0.7783359885215759,Matmul([0; 120; 6554]),0,120,6554
36533,0.8015679717063904,Matmul([0; 28; 36535]),0,28,36535
36533,0.7639679908752441,Matmul([0; 443; 5569]),0,443,5569
2030,0.05350400134921074,Matmul([0; 3; 10096]),0,3,10096
2030,0.05532800033688545,Matmul([0; 29; 2029]),0,29,2029
2030,0.05532800033688545,Matmul([0; 52; 2034]),0,52,2034
1536,0,Split([10; 1535]),10,1535
5094,0.7783359885215759,Matmul([0; 28; 5099]),0,28,5099
5094,0.000029000000722589903,Concat([10; 192; 505; 507]),10,192,505,507
339,0.035840000957250595,Matmul([0; 3; 9734]),0,3,9734
339,0.03641600161790848,Matmul([0; 29; 8923]),0,29,8923
339,0.03641600161790848,Matmul([0; 52; 8925]),0,52,8925
339,0.03641600161790848,Matmul([0; 75; 551]),0,75,551
339,0.0360959991812706,Matmul([0; 98; 338]),0,98,338
339,0,Split0(6386),6386
339,0,Split0(6391),6391
339,0,Split0(6396),6396
339,0,Split0(6401),6401
339,0,Split0(6406),6406
339,0,Split0(6411),6411
339,0,Split0(8654),8654
339,0,Split1(2241),2241
339,0,Split1(2391),2391
339,0,Split1(2536),2536
339,0,Split1(2676),2676
339,0,Split1(2796),2796
339,0,Split1(2946),2946
339,0,Split1(3091),3091
339,0,Split1(3231),3231
339,0,Split1(3331),3331
339,0,Split1(3481),3481
339,0,Split1(3626),3626
339,0,Split1(3766),3766
339,0,Split1(5831),5831
339,0,Split1(5901),5901
339,0,Split1(5961),5961
339,0,Split1(6011),6011
339,0,Split1(6051),6051
339,0,Split1(6081),6081
339,0,Split1(6126),6126
339,0,Split1(6196),6196
339,0,Split1(6256),6256
339,0,Split1(6306),6306
339,0,Split1(6346),6346
27767,0.5625920295715332,Matmul([0; 74; 27769]),0,74,27769
27767,0.5420160293579102,Matmul([0; 463; 2964]),0,463,2964
7964,0,Split([10; 4634]),10,4634
38235,0.8015679717063904,Matmul([0; 28; 38239]),0,28,38239
38235,0.7773119807243347,Matmul([0; 443; 38245]),0,443,38245
38235,0.7773119807243347,Matmul([0; 8729; 38249]),0,8729,38249
38235,0.7773119807243347,Matmul([0; 8807; 38251]),0,8807,38251
38235,0.7639679908752441,Matmul([0; 9023; 6599]),0,9023,6599
18822,0.8015679717063904,Matmul([0; 28; 11306]),0,28,11306
18822,0.7773119807243347,Matmul([0; 443; 11308]),0,443,11308
18822,0.7773119807243347,Matmul([0; 8729; 11310]),0,8729,11310
18822,0.7773119807243347,Matmul([0; 8807; 11312]),0,8807,11312
18822,0.7639679908752441,Matmul([0; 9023; 6914]),0,9023,6914
18822,0.7639679908752441,Matmul([0; 9059; 6919]),0,9059,6919
2385,0.05350400134921074,Matmul([0; 3; 27075]),0,3,27075
2385,0.05407999828457832,Matmul([0; 29; 27077]),0,29,27077
2385,0.05407999828457832,Matmul([0; 52; 27079]),0,52,27079
2385,0.05532800033688545,Matmul([0; 75; 2384]),0,75,2384
796,0,Split([10; 795]),10,795
11384,0.7783359885215759,Matmul([0; 143; 7124]),0,143,7124
11384,0.7639679908752441,Matmul([0; 493; 7129]),0,493,7129
930,0.035840000957250595,Matmul([0; 3; 26513]),0,3,26513
930,0.0360959991812706,Matmul([0; 29; 929]),0,29,929
1816,0,Split([10; 1815]),10,1815
27075,0.5625920295715332,Matmul([0; 28; 27077]),0,28,27077
27075,0.5505920052528381,Matmul([0; 443; 27079]),0,443,27079
27075,0.5420160293579102,Matmul([0; 8729; 2384]),0,8729,2384
8637,0.46720001101493835,Matmul([0; 8493; 318]),0,8493,318
8601,0.46720001101493835,Matmul([0; 8459; 273]),0,8459,273
36481,0.8015679717063904,Matmul([0; 28; 36483]),0,28,36483
36481,0.7639679908752441,Matmul([0; 443; 5474]),0,443,5474
3025,0.05350400134921074,Matmul([0; 3; 27873]),0,3,27873
3025,0.05407999828457832,Matmul([0; 29; 27875]),0,29,27875
3025,0.05407999828457832,Matmul([0; 52; 27877]),0,52,27877
3025,0.05532800033688545,Matmul([0; 75; 3024]),0,75,3024
32413,0.3963199853897095,Matmul([0; 143; 4319]),0,143,4319
5986,0,Split([10; 5985]),10,5985
1594,0.5523520112037659,Matmul([0; 51; 1599]),0,51,1599
1594,0.00003199999991920777,Concat([10; 192; 445; 523]),10,192,445,523
4344,0.00002700000004551839,Concat([10; 192; 493; 358]),10,192,493,358
11250,0.8015679717063904,Matmul([0; 51; 11252]),0,51,11252
11250,0.7773119807243347,Matmul([0; 453; 11254]),0,453,11254
11250,0.7773119807243347,Matmul([0; 8735; 11256]),0,8735,11256
11250,0.7639679908752441,Matmul([0; 8821; 6784]),0,8821,6784
11250,0.7639679908752441,Matmul([0; 9062; 6789]),0,9062,6789
4970,0.07017599791288376,Matmul([0; 3; 4969]),0,3,4969
5034,0.00002499999936844688,Concat([10; 192; 213; 505]),10,192,213,505
30223,0.5523520112037659,Matmul([0; 120; 3894]),0,120,3894
6670,0.06892800331115723,Matmul([0; 3; 38483]),0,3,38483
6670,0.0708480030298233,Matmul([0; 29; 38487]),0,29,38487
6670,0.0708480030298233,Matmul([0; 52; 38493]),0,52,38493
6670,0.0708480030298233,Matmul([0; 75; 38497]),0,75,38497
6670,0.0708480030298233,Matmul([0; 98; 38499]),0,98,38499
6670,0.07011199742555618,Matmul([0; 121; 6669]),0,121,6669
31489,0.5625920295715332,Matmul([0; 74; 31495]),0,74,31495
31489,0.5505920052528381,Matmul([0; 463; 31499]),0,463,31499
31489,0.5505920052528381,Matmul([0; 8741; 31501]),0,8741,31501
31489,0.5420160293579102,Matmul([0; 8835; 4139]),0,8835,4139
27873,0.5625920295715332,Matmul([0; 28; 27875]),0,28,27875
27873,0.5505920052528381,Matmul([0; 443; 27877]),0,443,27877
27873,0.5420160293579102,Matmul([0; 8729; 3024]),0,8729,3024
2066,0,Split([10; 2065]),10,2065
4444,0.000022000000171829015,Concat([10; 192; 166; 587]),10,192,166,587
3879,0.00003199999991920777,Concat([10; 192; 146; 497]),10,192,146,497
29761,0.5523520112037659,Matmul([0; 97; 3749]),0,97,3749
2130,0.05350400134921074,Matmul([0; 3; 26875]),0,3,26875
2130,0.05407999828457832,Matmul([0; 29; 26877]),0,29,26877
2130,0.05532800033688545,Matmul([0; 52; 2129]),0,52,2129
1800,0.05350400134921074,Matmul([0; 3; 26715]),0,3,26715
1800,0.05407999828457832,Matmul([0; 29; 26717]),0,29,26717
1800,0.05532800033688545,Matmul([0; 52; 1799]),0,52,1799
26995,0.5625920295715332,Matmul([0; 28; 26997]),0,28,26997
26995,0.5420160293579102,Matmul([0; 443; 2279]),0,443,2279
38587,0.7783359885215759,Matmul([0; 120; 6694]),0,120,6694
27299,0.5625920295715332,Matmul([0; 51; 27301]),0,51,27301
27299,0.5420160293579102,Matmul([0; 453; 2654]),0,453,2654
11322,0.8015679717063904,Matmul([0; 51; 11324]),0,51,11324
11322,0.7773119807243347,Matmul([0; 453; 11326]),0,453,11326
11322,0.7773119807243347,Matmul([0; 8735; 11328]),0,8735,11328
11322,0.7639679908752441,Matmul([0; 8821; 6964]),0,8821,6964
11322,0.7639679908752441,Matmul([0; 9062; 6969]),0,9062,6969
1105,0.05488000065088272,Matmul([0; 3; 1104]),0,3,1104
1699,0.00002700000004551839,Concat([10; 192; 447; 238]),10,192,447,238
7470,0,Split([10; 2174]),10,2174
3349,0.00003199999991920777,Concat([10; 192; 123; 348]),10,192,123,348
17383,0.5625920295715332,Matmul([0; 28; 17385]),0,28,17385
17383,0.5505920052528381,Matmul([0; 443; 10782]),0,443,10782
17383,0.5505920052528381,Matmul([0; 8729; 10784]),0,8729,10784
17383,0.5505920052528381,Matmul([0; 8807; 10786]),0,8807,10786
17383,0.5505920052528381,Matmul([0; 9023; 10788]),0,9023,10788
17383,0.5420160293579102,Matmul([0; 9059; 4604]),0,9059,4604
17383,0.5420160293579102,Matmul([0; 9107; 4609]),0,9107,4609
27351,0.40112000703811646,Matmul([0; 28; 27355]),0,28,27355
27351,0.3935360014438629,Matmul([0; 443; 27359]),0,443,27359
27351,0.3935360014438629,Matmul([0; 8729; 27361]),0,8729,27361
27351,0.3887999951839447,Matmul([0; 8807; 2704]),0,8807,2704
34883,0.5625920295715332,Matmul([0; 120; 34885]),0,120,34885
34883,0.5420160293579102,Matmul([0; 483; 4684]),0,483,4684
839,0.00003199999991920777,Concat([10; 192; 28; 439]),10,192,28,439
1444,0.00003199999991920777,Concat([10; 192; 51; 238]),10,192,51,238
1735,0.05350400134921074,Matmul([0; 3; 10070]),0,3,10070
1735,0.05532800033688545,Matmul([0; 29; 1734]),0,29,1734
1735,0.05532800033688545,Matmul([0; 52; 1739]),0,52,1739
31595,0.5625920295715332,Matmul([0; 120; 31597]),0,120,31597
31595,0.5420160293579102,Matmul([0; 483; 4159]),0,483,4159
2511,0,Split([10; 2510]),10,2510
605,0.03619199991226196,Matmul([0; 3; 604]),0,3,604
6940,0.06892800331115723,Matmul([0; 3; 39903]),0,3,39903
6940,0.0708480030298233,Matmul([0; 29; 39907]),0,29,39907
6940,0.0708480030298233,Matmul([0; 52; 39913]),0,52,39913
6940,0.0708480030298233,Matmul([0; 75; 39919]),0,75,39919
6940,0.0708480030298233,Matmul([0; 98; 39923]),0,98,39923
6940,0.0708480030298233,Matmul([0; 121; 39925]),0,121,39925
6940,0.07011199742555618,Matmul([0; 144; 6939]),0,144,6939
36419,0.7783359885215759,Matmul([0; 28; 5234]),0,28,5234
8271,0,Split([10; 6434]),10,6434
2281,0,Split([10; 2280]),10,2280
11030,0.7783359885215759,Matmul([0; 74; 6114]),0,74,6114
11030,0.7639679908752441,Matmul([0; 463; 6119]),0,463,6119
8721,0.46720001101493835,Matmul([0; 8544; 423]),0,8544,423
3514,0.5523520112037659,Matmul([0; 120; 3519]),0,120,3519
3514,0.00003199999991920777,Concat([10; 192; 477; 559]),10,192,477,559
398,0.000045000000682193786,Concat([10; 192; 157; 166]),10,192,157,166
3564,0.000022000000171829015,Concat([10; 192; 128; 573]),10,192,128,573
269,0.035840000957250595,Matmul([0; 3; 8873]),0,3,8873
269,0.03641600161790848,Matmul([0; 29; 523]),0,29,523
269,0.0360959991812706,Matmul([0; 52; 268]),0,52,268
269,0,Split0(5636),5636
269,0,Split0(5646),5646
269,0,Split0(5656),5656
269,0,Split0(5661),5661
269,0,Split0(5666),5666
269,0,Split0(5671),5671
269,0,Split0(5676),5676
269,0,Split0(5681),5681
269,0,Split0(8598),8598
269,0,Split1(1051),1051
269,0,Split1(1201),1201
269,0,Split1(1346),1346
269,0,Split1(1486),1486
269,0,Split1(1596),1596
269,0,Split1(1746),1746
269,0,Split1(1891),1891
269,0,Split1(2031),2031
269,0,Split1(2141),2141
269,0,Split1(2291),2291
269,0,Split1(2436),2436
269,0,Split1(2576),2576
269,0,Split1(5161),5161
269,0,Split1(5231),5231
269,0,Split1(5291),5291
